mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_col_transformer__Direction,param_col_transformer__Speed,param_col_transformer__time,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0021543025970458983,0.000431399544600525,0.0,0.0,drop,,drop,LinearRegression(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': LinearRegression()}",,,,,,,,109
0.0019748687744140627,0.00022367675315532515,0.0,0.0,drop,,drop,"MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')}",,,,,,,,109
0.0018008232116699218,0.00039961603686800137,0.0,0.0,drop,,drop,SVR(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': SVR()}",,,,,,,,109
0.0014001846313476563,0.0004897266978109758,0.0,0.0,drop,,drop,HuberRegressor(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': HuberRegressor()}",,,,,,,,109
0.001543712615966797,0.0004576191177216285,0.0,0.0,drop,,drop,RANSACRegressor(min_samples=0.1),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': RANSACRegressor(min_samples=0.1)}",,,,,,,,109
0.0014670848846435546,0.0005818723234067562,0.0,0.0,drop,,drop,"GaussianProcessRegressor(alpha=0.1, kernel=RBF(length_scale=1))","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': GaussianProcessRegressor(alpha=0.1, kernel=RBF(length_scale=1))}",,,,,,,,109
0.001429128646850586,0.0007868718817627899,0.0,0.0,drop,,,LinearRegression(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': LinearRegression()}",,,,,,,,109
0.0014001846313476563,0.0004907005925831952,0.0,0.0,drop,,,"MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')}",,,,,,,,109
0.0008018016815185547,0.0004009218640051433,0.0,0.0,drop,,,SVR(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': SVR()}",,,,,,,,109
0.0014705181121826172,0.0004492481853077412,0.0,0.0,drop,,,HuberRegressor(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': HuberRegressor()}",,,,,,,,109
0.0008096694946289062,0.0004050476392861039,0.0,0.0,drop,,,RANSACRegressor(min_samples=0.1),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': RANSACRegressor(min_samples=0.1)}",,,,,,,,109
