mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_col_transformer__Direction,param_col_transformer__Speed,param_col_transformer__time,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0023990631103515624,0.0004856566816279944,0.0,0.0,drop,,drop,LinearRegression(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': LinearRegression()}",,,,,,,,109
0.0026025772094726562,0.000801334527174819,0.0,0.0,drop,,drop,"MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')}",,,,,,,,109
0.002801656723022461,0.0007463586594302153,0.0,0.0,drop,,drop,SVR(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': SVR()}",,,,,,,,109
0.002103090286254883,0.0004868872355157712,0.0,0.0,drop,,drop,HuberRegressor(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': HuberRegressor()}",,,,,,,,109
0.0018453121185302735,0.0005662970247153764,0.0,0.0,drop,,drop,RANSACRegressor(min_samples=0.1),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': RANSACRegressor(min_samples=0.1)}",,,,,,,,109
0.001999950408935547,0.0006321087900823919,0.0,0.0,drop,,drop,"GaussianProcessRegressor(alpha=0.1, kernel=RBF(length_scale=1))","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': 'drop', 'model': GaussianProcessRegressor(alpha=0.1, kernel=RBF(length_scale=1))}",,,,,,,,109
0.001563882827758789,0.0004662298717210829,0.0,0.0,drop,,,LinearRegression(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': LinearRegression()}",,,,,,,,109
0.0017067909240722657,0.00039586222499735866,0.0,0.0,drop,,,"MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')","{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': MLPRegressor(activation='tanh', hidden_layer_sizes=(150, 150), solver='sgd')}",,,,,,,,109
0.0022016525268554687,0.000979307111119682,0.0,0.0,drop,,,SVR(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': SVR()}",,,,,,,,109
0.0015656471252441407,0.0004670330031793069,0.0,0.0,drop,,,HuberRegressor(),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': HuberRegressor()}",,,,,,,,109
0.001719522476196289,0.0006314407641708,0.0,0.0,drop,,,RANSACRegressor(min_samples=0.1),"{'col_transformer__Direction': 'drop', 'col_transformer__Speed': None, 'col_transformer__time': None, 'model': RANSACRegressor(min_samples=0.1)}",,,,,,,,109
